773,     初夏小溪, 9.000,0.062,0.002
633,       黄雨篱, 9.000,0.062,0.002
1187,  RachelChang, 9.000,0.062,0.002
975,     老虎欧巴, 9.000,0.062,0.002
1295,    REI泠千夜, 9.000,0.062,0.002
260,     秋火林荫, 9.000,0.062,0.002
1477, 彭青, 9.000,0.062,0.002
242,王齐铭WatchMe, 9.000,0.062,0.002
147,   Y_xhの柒姬, 9.000,0.062,0.002
496,       洛天依, 9.000,0.062,0.002
234,Yoken_Official, 9.000,0.062,0.002
1326, 河图, 9.000,0.062,0.002
900,     积木立方, 9.000,0.062,0.002
1458,     考拉抱树, 8.000,0.055,0.002
405,       阿力普, 8.000,0.055,0.002
1445,       李佳思, 8.000,0.055,0.002
1510, 风子, 8.000,0.055,0.002
919,    Noicybino, 8.000,0.055,0.002
757,  JOE, 8.000,0.055,0.002
774, 沈庆, 8.000,0.055,0.002
550,       麦子杰, 8.000,0.055,0.002
980,       刘昊霖, 8.000,0.055,0.002
804,   醒山工作室, 8.000,0.055,0.002
522, 安浩, 8.000,0.055,0.002
323,  nin, 8.000,0.055,0.002
1012,       闫东炜, 8.000,0.055,0.002
 81,   小白的亚新, 8.000,0.055,0.002
1362,       李上安, 8.000,0.055,0.002
1128,      平纱落雁音乐团队, 8.000,0.055,0.002
842, 么么, 8.000,0.055,0.002
1129,GumJ-鸡蛋先生, 8.000,0.055,0.002
 44,    Mavericks_Official, 8.000,0.055,0.002
880,Veeos, 8.000,0.055,0.002
890,  MKJ, 8.000,0.055,0.002
1151,    eliaqsopa, 8.000,0.055,0.002
978,      西奥Sio, 8.000,0.055,0.002
1250,    PonySoore, 8.000,0.055,0.002
1325,     左小祖咒, 8.000,0.055,0.002
922,     CNBALLER, 8.000,0.055,0.002
484,那吾克热LIL-EM, 8.000,0.055,0.002
182,       谢天笑, 8.000,0.055,0.002
 91, 慕寒, 8.000,0.055,0.002
516,   GZ, 7.000,0.048,0.001
572, 韩旭, 7.000,0.048,0.001
568, 曹槽, 7.000,0.048,0.001
 31,       Shawee, 7.000,0.048,0.001
705,   阿良良木健, 7.000,0.048,0.001
1470,       徐秉龙, 7.000,0.048,0.001
 13,       徐云霄, 7.000,0.048,0.001
1042,     布衣乐队, 7.000,0.048,0.001
1606, riza, 7.000,0.048,0.001
940,      Aki阿杰, 7.000,0.048,0.001
340,     Nyaameow, 7.000,0.048,0.001
152,     莫西子诗, 7.000,0.048,0.001
 75, 霍尊, 7.000,0.048,0.001
 50,     山竹妹汁, 7.000,0.048,0.001
198,      阿力木江·托合提, 7.000,0.048,0.001
