1556,    警哥组合,   1.000,  0.000
370,  Ramila_Rozimamat,   1.000,  0.000
702,满文军,   0.500,  0.000
738,康智炜,   0.500,  0.000
108,赖伟锋,   0.500,  0.000
 26,王呈章,   0.000,  0.000
115,牛奶味夹心阿尔卑斯,   0.000,  0.000
100,   LostFrequencies,   0.000,  0.000
  1,  羽肿,   0.000,  0.000
127,谢路昊,   0.000,  0.000
 16,  马戏团小丑,   0.000,  0.000
 24,     TooHigh,   0.000,  0.000
101,茶理理,   0.000,  0.000
 65,    Gameface,   0.000,  0.000
 39,  人行道乐队,   0.000,  0.000
125, Awich,   0.000,  0.000
 25,    嘿！！！,   0.000,  0.000
 48,  EDEN,   0.000,  0.000
 49,颜小健,   0.000,  0.000
  2,  郭顶,   0.000,  0.000
151,林宥嘉,   0.000,  0.000
 90,GumNam,   0.000,  0.000
165,     小艾EYE,   0.000,  0.000
130,  鲸鱼岛乐队,   0.000,  0.000
 86, RAiNBOW计划,   0.000,  0.000
126,  贰佰,   0.000,  0.000
 57,    Borgeous,   0.000,  0.000
152,    莫西子诗,   0.000,  0.000
 34,    ETC!ETC!,   0.000,  0.000
160,  阿杜,   0.000,  0.000
 23,上海交响乐团,   0.000,  0.000
 50,    山竹妹汁,   0.000,  0.000
 75,  霍尊,   0.000,  0.000
 14,  蜡笔大Boom,   0.000,  0.000
177,聚来提,   0.000,  0.000
116,    小旭音乐,   0.000,  0.000
  5,  Gary,   0.000,  0.000
174,     莫安琪AngelMo,   0.000,  0.000
  6,茄子蛋,   0.000,  0.000
176,魏小也,   0.000,  0.000
158,PEATLE,   0.000,  0.000
 47, renyi,   0.000,  0.000
 85,夏璃夜,   0.000,  0.000
186,  灰色,   0.000,  0.000
 12,    DJ,   0.000,  0.000
 88, MyTaN,   0.000,  0.000
 89,    R.,   0.000,  0.000
190,    澄海伯伯,   0.000,  0.000
 41,Zhouna,   0.000,  0.000
180,    Ofenbach,   0.000,  0.000
 68,刘珂矣,   0.000,  0.000
132,    德勒闹吾,   0.000,  0.000
 45,   HAS,   0.000,  0.000
184,    废墟乐队,   0.000,  0.000
 97,  张童,   0.000,  0.000
 98,  电鸟个灯泡,   0.000,  0.000
199,     ShahMat,   0.000,  0.000
200,  马潇,   0.000,  0.000
201,郭思达,   0.000,  0.000
202,    新乐尘符,   0.000,  0.000
 28,  玄觞,   0.000,  0.000
154,    eddy盖奶,   0.000,  0.000
105,    DJ,   0.000,  0.000
 56,  阿兰,   0.000,  0.000
207,   ABSDJHONG,   0.000,  0.000
  8,  吾恩,   0.000,  0.000
 59,  王麟,   0.000,  0.000
110,  颜妹,   0.000,  0.000
111,徐真真,   0.000,  0.000
112,  马頔,   0.000,  0.000
 38,赵大格,   0.000,  0.000
114,    Zaliva-D,   0.000,  0.000
215,薄云天,   0.000,  0.000
 15,胡艾彤,   0.000,  0.000
 17,  Thud,   0.000,  0.000
218,  杨烁,   0.000,  0.000
 44,Mavericks_Official,   0.000,  0.000
145,啤酒车,   0.000,  0.000
 46,    Krewella,   0.000,  0.000
122,  黑峰,   0.000,  0.000
123,  兔裹煎蛋卷,   0.000,  0.000
224,    雲道娱乐,   0.000,  0.000
225,  RANA.Queen,   0.000,  0.000
226,  梦灵,   0.000,  0.000
227,    逃跑计划,   0.000,  0.000
 27,江南诚,   0.000,  0.000
  4,ゆう十,   0.000,  0.000
230,  胡灵,   0.000,  0.000
206,钟立风,   0.000,  0.000
232,蒋大为,   0.000,  0.000
 32,     abduwalitohti,   0.000,  0.000
 33,藤乐队,   0.000,  0.000
185,月代彩,   0.000,  0.000
 36,     SaMZIng,   0.000,  0.000
137,   ambernini,   0.000,  0.000
188,芮甜甜,   0.000,  0.000
239,张信哲,   0.000,  0.000
 40,  程璧,   0.000,  0.000
241,复乐班,   0.000,  0.000
142,Aosaki,   0.000,  0.000
243,Shaggy,   0.000,  0.000
244, Calculasian,   0.000,  0.000
245,王广允,   0.000,  0.000
246, AkaneXIii茜,   0.000,  0.000
247, CasinoDemon,   0.000,  0.000
248,  秦岚,   0.000,  0.000
249, VOGUE,   0.000,  0.000
150, V.K克,   0.000,  0.000
251,箱子君,   0.000,  0.000
252,  高铭,   0.000,  0.000
  3, D-Lay,   0.000,  0.000
 53,    「么凹」,   0.000,  0.000
155,董雪婷,   0.000,  0.000
256,高晨薇,   0.000,  0.000
257,土不叔叔乐队,   0.000,  0.000
258,   FarEastMovement,   0.000,  0.000
159,    大坏兔子,   0.000,  0.000
260,    秋火林荫,   0.000,  0.000
 61,     Kit.Tam,   0.000,  0.000
162,  炸炸,   0.000,  0.000
138,JINDJs,   0.000,  0.000
164,Tujamo,   0.000,  0.000
 64,  贰贝勒·木森(J-Forest),   0.000,  0.000
266,    泥鳅Niko,   0.000,  0.000
217,段丽阳,   0.000,  0.000
168,    Tritonal,   0.000,  0.000
269,    Polymath,   0.000,  0.000
220,黄榕生,   0.000,  0.000
 20,尧十三,   0.000,  0.000
 21,董子健,   0.000,  0.000
 73,    潜水大象,   0.000,  0.000
274,     LOKEY低调组合,   0.000,  0.000
175,     DillonFrancis,   0.000,  0.000
276,  Tonino祖力,   0.000,  0.000
277, Katana_real,   0.000,  0.000
 77,EdJean,   0.000,  0.000
229,   Habstrakt,   0.000,  0.000
 79,RacoonRacoon,   0.000,  0.000
131,何大河,   0.000,  0.000
282, uncle,   0.000,  0.000
 83,    零点乐队,   0.000,  0.000
284,    OmenXIII,   0.000,  0.000
285,  Candy_Wind,   0.000,  0.000
