1518148,5572309,13941313,30085675,33436583,34037160,37021013,38374651,42628695,54716168,57651700,59189593,59577399,91866735,302906238,349450705
降落伞,凉城,Brand?New?Day,生活在地下,Two?Is?Better?Than?One?(Album?Version),有何不可,让我为你唱情歌,时代を超える想い1 - (穿越时空的思念1),Ode?To?A?Nightingale,u,傻瓜旅行,走马（Cover：陈粒）,A?little?Piece?of?Sadness,白羊,Go?Time,渣儿
知足,最后一页,梦里梦外,嫁给我?-?民谣版,We?Run?The?Night?(127?BPM),想象之中,不夜城传奇 - (《浮沉》主题曲),最后一首情歌,总有离开的时候?(Live),Alright,在路旁,觅香,Hogi?Hogi?La?La?Jo,如果有来生,Remember?The?Name,火车快开
天使的侧脸,温暖的房间,黑鸟,孙大剩,可惜没如果 - (If?Only…),叹服,Remember?Me?(Dúo)? - (电影《寻梦环游记》主题曲),まっしろ - (白皚?(日剧《无法成为野兽的我们》插曲)),My?Monday?Throne,For?Sale??(Interlude),远方,世末歌者（Cover?乐正绫）,Blues,你曾说 - (电视剧《那年花开月正圆》插曲),??? - (Not?a?Single?Day),粘人
尘埃,If,辣糖,狗先生,算什么男人,认错,百视达,My?Life,BINGBIAN病变（原版）,Momma,老路小路,Lone?Ranger,No?Man's?Land,烟火里的尘埃,Loves?Me?Not,坎儿
寂寞在唱歌,原谅我不明白你的悲伤,烟为何,偷心者,Wildest?Dreams?(Acoustic),城府,离不开你,ハルノユキ,Little?Monkey?Rides?on?the?Little?Donkey,Hood?Politics,让我偷偷看你,Sofía,No?Man's?Land?(reprise),不散，不见,I'm?Coming,采花
花,记念,爱,走歌人,来日方长,中毒,一年五季,我不希望你孤单的去面对整个喧哗世界,唯独你是不可取替?(Live),How?Much?a?Dollar?Cost,家乡,Too?Far,Pinky?Pinky,房间?(新版) - (电影《超时空同居》插曲),Wrecking?Ball,伎俩
空,接下来如何,我很快乐,杀死那个石家庄人,那年·四季,空心?,烟火,每次都想拥抱你,不露声色,Complexion?(A?Zulu?Love),那年我十八岁,夢燈籠?(R7CKY?你的名字?Mix),Ah-Ah,成全,Faded（英雄联盟台词版）,允许部分艺术家先富起来
瞎子(贵州话),治疗,When?You?Love?Someone,玩民谣才是王道,性空山,如果当时,鱼,梦缠绕的时候,忘鸟爱,The?Blacker?the?Berry,生命是场马拉松?,鏡花水月,"?1,000,000 - (Prod.?CHOICE37,?Teddy)",爱,友情岁月(Cover汪晨蕊),潇洒走一回
Reverie,认真地老去,退,天鹅之死,种种,年少有为,专属天使 - (电视剧《花样少年少女》片尾曲),陆垚知马俐?(Live?at?Blue?Note?Beijing?2017) - (When?Larry?Met?Mary?(Live?at?Blue?Note?Beijing?2017)),油尖旺金毛玲,You?Ain't?Gotta?Lie?(Momma?Said),我的名字叫做安,小镇青年?Lost?Generation,?2?? - (中2病),你就不要想起我,Sing?Me?to?Sleep,贤良
瓦解,八月,三十岁的女人 - (电影《剩者为王》宣传曲),乖乖的,走马,借我,葡萄成熟时,粼兰曲,其实我…,i,秦皇岛,可能否,Dejavu,戒烟,Wake,北方姑娘
Missiva?D'amore,我的一个道姑朋友（cover?タイナカ?彩智）（Cover?Lon）,父亲写的散文诗(时光版),广东十年爱情故事,懦夫,明智之举,未接来电 - (Missed?Call),Anybody?Out?There? - (电影《八月梦游者》配乐),Scotty,Mortal?Man,The?Blower's?Daughter,天踦爵 - (天踦爵角色曲),In?Trinity,慢慢喜欢你,Tell?Me?Goodbye,窗外雨
Secret?Garden,Miss?You?Tonight,一块红布,三十里铺（Cover?陕北民歌）,才华有限公司,素颜,无名(写给杨乃文的歌),The?River?of?No?Return?(Film?Ver.) - (电影《军中乐园》插曲),世界以痛吻我,Take?A?Little?Time,9?Crimes,梦回还 - (动画《狐妖小红娘》王权富贵篇主题曲),The?Time?Goes?On,Tidal?Wave,I?Need?A?Girl,粉丝扎扎写给赵雷的歌(感冒中低八度版)
Everything,I?Am?You,在路上,和小贩一起在街头徜徉,Muscle?Memory,幻听,境外,山海,A?Tale?Only?the?Rain?Knows,It's?No?Sweat,Alone,狂浪生,??? - (自画像),My?Dilemma?2.0,Buttons,?命运? - (?电影《情况不妙》主题曲)
Mengele?y?el?amor,Made?in?China,Impressions?Of?The?West?Lake - (印象西湖雨),Tennessee?Whiskey,再见?你好,一百万个可能,Try,哪里都不想去,Somebody?New,バッタの災害前の町（蝗灾前的小镇）,And?The?Winner?Is,离人愁,International?Wave,借我,Red?Lights?(Radio?Edit),仙儿
Lovely?(SteveTist?Bootleg),房间,忽然?(2015动静版),为了你，为了我,思美人兮 - (电视剧《思美人》插曲),保留,超能力 - (电影《王牌御史》片尾曲),Don't?Break?My?Heart,接下来如何,A?willow?knitted?ring?(demo),行歌,摆渡,So?What,想你想疯了,Lonely,天地一家春
Cosi?Tanto,浪费 - (原唱?:?林宥嘉),不知归期的故人,珍重,岁月神偷,只能想念你,See?You?Again/平凡之路?ft.?Kunwoo?Hong,该说再见了朋友们,Journey?On,Lost?In?Your?Maze,鸽子,诗话小镇,David,Titanium,Spectre,卡比巴拉的海+春曲
"Shine?on?You?Crazy?Diamond,?Pts.?1-5",Five?Hours,安阳安阳,闪光,All?We?Know,情画,依然周杰伦(上集),4?AM?(Feat.?I?Hate?This?Place),RAINBOW,FALL,莉莉安,Lemon - (电视剧《非自然死亡》主题曲?/?ドラマ「アンナチュラル」主題歌),Octagon,No?Roots,Nightmare,口吐莲花
谁,Lullabies,和小贩一起在街头徜徉,是缘是债是场梦,Stay,因为你是女人,爱人,残缺的歌(YOU'LL?BE?MARRIED),Stand?By?Me?(Album?Version),嘘,梵高先生,少卿游,Yelloism,Downtown,Remember?You,兰州故事
深夜的歌,Ca?Ira,只想请你看着我,爱的替身,最长的电影,残废,守门员,Pray?For?You,词不达意,小猪白菜,十万嬉皮,戏风流,LIKE?ME,胡桃夹子,Love?Me?Harder,非酋
大象（DEMO）,我会想起你,吻得太逼真?(国),余情未了,下雨了,不屑纪念,不完美女孩 - (原曲?:?TFBOYS《不完美小孩》),All?alright,耿耿于怀 - (网络剧《最好的我们》主题曲),Win?your?love?(Original?mix）,西北偏北,歌ウサギ,Yello?Card,外面的世界,Love?the?Way?You?Lie?(Clean),城市?Conurbation
峇里岛 - (Bali?Song),结婚?(2016?unplugged),吻得太逼真,凌晨旧戏?(Live),Stuttering,胡闹,如果这就是爱情,关于那个胸小的短发姑娘,Is?a?Woman,Above?The?Cloud?(Original?mix),董小姐,三線の花 - (电影《泪光闪闪》插曲?/?映画「涙そうそう」挿入歌),No?Sky?Is?The?Limit?,爱呀,Trouble?Is?A?Friend,荒年
Tell?Her?You?Belong?To?Me,你一定要幸福?(cover?何洁),虞山遗忘,三峰,Do?You?Wanna?Come?Over?,全部都给你,陆垚知马俐? - (电影《陆垚知马俐》主题曲),Sunk,候斯顿之恋,梦回课堂,少年锦时,松烟入墨,Swimming?Bananas,ECHO?(LET?GO),Where?Is?the?Love,无法逃脱
旧梦,Five?Hundred?Miles - (500英里),致，孤勇如你,雀跃的硬骨,Break?The?Ice,泛泛之辈,时の薫り,故意,OK?(Heyder?Remix),你算哪块小饼干,我在太原和谁一起假装悲伤,僕が死のうと思ったのは - (曾经我也想过一了百了),Waltz?(Re-mastered),Unstoppable,Better?Off,卡尔加里路
总有一天我会欺骗你,Hotel?California - (加州旅馆),男孩,一个人在途上,Toxic,寂寞来了怎么办,The?promise,琴麻岛的海,"再见,我爱你",困住,我不想失去你,杏花巷,?? - (梦想),Chandelier,House?by?the?Sea,青春大概
你还记得那个电影演员吗,成都,无悔这一生,I?Wanna?Hold?You?Forever,上海姑娘,寄生,蒲公英的约定,Eminem-lucky?you（法老?Remix）,梦伴,Light?of?the?woods,山丘,ヤキモチ - (吃醋),Time?Looping,Cheap?Thrills,Send?It?,沈阳
Siempre?Me?Quedará,原谅?(Cover?张玉华),易燃易爆炸,In?Cold?Blood,Us?Against?The?World,没关系,The?truth?that?you?leave - (你离开的事实),湘南が遠くなっていく,恋 - (日剧《逃避虽可耻但有用》主题曲?/?ドラマ『逃げるは恥だが役に立つ』主題歌),拥有你REMIX,平凡之路 - (电影《后会无期》主题曲),谓风,Thank?God,莉莉安,Five?Hours,书房
在冬天和奶奶一起晒太阳,天使的指纹 - (Angel's?Fingerprints),广岛之恋(Live)?-?live,划火柴,Easy?Come?Easy?Go - (“美丽突然发生”巡回演唱会先发决定曲),越爱越难过,Home,おなじ话 - (重复的话),Some?Dreams,.Dot.-Cat?Walk（QCQ?official?Remix）,定西,爱殇,Dreamers?(Skit),我要你 - (电影《驴得水》主题曲),Baby,特斯河之赞
残酷月光,想起了她,广岛之恋(Live)?-?live,Silver?City,越来越不懂,牵牵牵手,Empty?Space,Fantasy,再见悲哀,你的安眠药,寂寞有多长,琵琶行,??????,Perfect?Duet?(with?Beyoncé),ILYSB?-?STRIPPED,sonsii
Barcelona?Blues,很久以前,广岛之恋,我应该走,Nobody,爱太痛,我们的故事,Y?(Live),涉川,下着雨的夏季,九月(第三版),山鬼,Animals,In?Your?Corner,Until?You,爱你就像爱生命
Runaway,若你爱上油麻地,思念是一种病,清白之年,乘客,为你写诗,我们到最后终于变成朋友,烟草のめのめ,Can't?Take?My?Eyes?Off?You,The?Sea?Of?Heaven,和你在一起,国色,???????????? - (希望是永不沉眠的梦),世界上的另一个我,Fade,暧昧
